No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
42,陈伟霆,男,1985年11月21日,演员、歌手、主持人,中国,香港,陈伟霆（WilliamChan），1985年11月21日出生于中国香港，华语影视男演员、歌手、主持人。2003年，因参加全球华人新秀香港区选拔赛而进入演艺圈。2006年成为Sun Boy’z组合一员。2008年开始独立发展，随后推出个人首张专辑《Will Power》，并获香港十大劲歌金曲颁奖礼最受欢迎男新人金奖及香港十大中文金曲最有前途新人金奖。2014年，因主演古装仙侠偶像剧《古剑奇谭》被内地观众熟知，并获得国剧盛典年度最受欢迎全能艺人及年度电视剧媒体最期待演员,https://baike.baidu.com/item/%E9%99%88%E4%BC%9F%E9%9C%86
43,吴磊,男,1999年12月26日,演员,中国,上海市,吴磊，1999年12月26日出生于上海，中国内地影视男演员。2005年，因出演个人首部作品《封神榜之凤鸣岐山》而踏入演艺圈。2009年，因出演喜剧《家有外星人》中唐不苦一角而被观众认识。2015年，凭借古装谋权剧《琅琊榜》获得国剧盛典最具潜质演员奖。2016年，主演3D喜剧《大闹东海》及奇幻片《阿修罗》。2017年，主演改编自天蚕土豆同名小说的古装玄幻剧《斗破苍穹》,https://baike.baidu.com/item/%E5%90%B4%E7%A3%8A/6581
44,刘德华,男,1961年9月27日,演员、歌手、作词人、制片人,中国,香港,刘德华（AndyLau），1961年9月27日出生于中国香港，中国香港男演员、歌手、作词人、制片人。1981年出演电影处女作《彩云曲》。1983年主演的武侠剧《神雕侠侣》在香港获得62点的收视纪录。2004年凭借警匪片《无间道3：终极无间》获得第41届台湾金马奖最佳男主角奖。1985年发行首张个人专辑《只知道此刻爱你》。2000年被《吉尼斯世界纪录大全》评为“获奖最多的香港男歌手”。2004年第六次获得十大劲歌金曲最受欢迎男歌星奖。,https://baike.baidu.com/item/%E5%88%98%E5%BE%B7%E5%8D%8E/114923
45,周渝民,男,1981年6月9日,演员、流行乐歌手,中国,台湾省宜兰县,周渝民（VicChou），1981年6月9日出生于台湾省宜兰县，中国台湾影视男演员、流行乐歌手，F4组合成员。2001年，凭借在偶像剧《流星花园》饰演花泽类而崭露头角。2009年，在电视剧《痞子英雄》中成功饰演陈在天并凭借这部作品入围了第44届台湾电视金钟奖最佳男主角。自2008年主演了电影《蝴蝶飞》之后，周渝民开始走上大荧幕，2011年，凭借影片《爱你一万年》获得大阪亚洲电影节最受观众欢迎大奖,https://baike.baidu.com/item/%E5%91%A8%E6%B8%9D%E6%B0%91
46,张一山,男,1992年5月5日,演员,中国,北京市西城区,张一山，1992年5月5日出生于北京市西城区，毕业于北京电影学院，中国内地男演员。2000年，张一山开始拍摄广告片，后被导演徐耿相中，出演首部电视剧作品《小兵张嘎》。2004年，因在少儿题材的情景喜剧《家有儿女》中饰演刘星后而被观众们熟知。2016年，主演的刑侦网剧《余罪》第一、二季播出，再次得到好评；同年10月，张一山当选2016“中国90后10大影响力人物”,https://baike.baidu.com/item/%E5%BC%A0%E4%B8%80%E5%B1%B1/11907
47,尹正,男,1986年12月30日,演员,中国,内蒙古包头,尹正，1986年12月30日出生，毕业于星海音乐学院流行音乐系2006级本科，中国内地男演员。2011年，参演了中文版音乐剧《妈妈咪呀》。2012年，参演话剧《鹿鼎记》。2013年，在古装喜剧《龙门镖局》中饰演“山鸡”一角，正式进入演艺圈。2014年，参演的奇幻惊悚题材好莱坞电影《绝命航班》上映。2015年，主演校园励志电视剧《红色青橄榄》，首次担任男主角；同年，主演喜剧电影《夏洛特烦恼》；随后，主演悬爱侦探剧《他来了，请闭眼》，凭借该剧获得第19届华鼎奖“最佳新锐演员”的称号。,https://baike.baidu.com/item/%E5%B0%B9%E6%AD%A3/9583560
48,言承旭,男,1977年1月1日,演员、歌手、模特,中国,台湾省桃园市,言承旭（JerryYan），本名廖洋震，1977年1月1日出生于台湾省桃园市。演员、歌手、模特，偶像组合F4中的一员。2001年参演电视剧《流星花园》，饰演“道明寺”一角而走红；2004年获韩国总理颁发“亚洲杰出艺人奖”，8月推出首张个人专辑《第一次》，凭此专辑获得中歌榜年度“最受欢迎港台地区新人奖”和“最受欢迎港台歌曲奖 ”,https://baike.baidu.com/item/%E8%A8%80%E6%89%BF%E6%97%AD
49,成龙,男,1954年4月7日,演员、导演、动作指导、制作人、编剧、歌手,中国,香港中西区,成龙，1954年4月7日出生于香港中西区，祖籍安徽省芜湖，中国香港男演员、导演、动作指导、制作人、编剧、歌手。1971年以武师身份进入电影圈。1978年主演的动作片《蛇形刁手》、《醉拳》标志着功夫喜剧片的开端。2013年凭借动作片《十二生肖》获得第32届香港电影金像奖最佳动作设计奖。2016年获得奥斯卡金像奖终身成就奖。成龙与周润发、周星驰并称为双周一成。他擅长谐趣风格的动作喜剧片；截至2017年，其主演电影在全球的总票房超过200亿元。,https://baike.baidu.com/item/%E6%88%90%E9%BE%99/71648
50,刘烨,男,1978年3月23日,演员,中国,吉林省长春市,刘烨，1978年3月23日生于吉林省长春市，中国内地男演员，吉林省青年联合会副主席、中国电影协会会员、中国国家话剧院演员。2000年毕业于中央戏剧学院表演系。1999年，刘烨因主演电影《那山那人那狗》饰演山村男孩步入影坛，该片获蒙特利尔国际电影节最受观众欢迎故事片奖。2016年，在悬疑片《追凶者也》中饰演宋老二，他则凭借该片获得第19届上海国际电影节最佳男主角（即金爵奖影帝）,https://baike.baidu.com/item/%E5%88%98%E7%83%A8/13286
51,文章,男,1984年6月26日,演员、导演,中国,陕西省西安市,文章，1984年6月26日出生于陕西省西安市，中国内地男演员、导演。2006年毕业于中央戏剧学院表演系。2004年参演电视剧《与青春有关的日子》，开始在影视圈崭露头角。2005年拍摄古装剧《锦衣卫》。2007年主演赵宝刚导演的青春剧《奋斗》；同年，主演首部电影《走着瞧》。2008年主演滕华涛执导的电视剧《蜗居》2017年9月16日，凭借《陆垚知马俐》获得第31届中国电影金鸡奖导演处女作奖,https://baike.baidu.com/item/%E6%96%87%E7%AB%A0/4751275
52,黄渤,男,1974年8月26日,演员,中国,山东青岛 ,黄渤，1974年8月26日出生于山东青岛，中国内地男演员，毕业于北京电影学院表演系配音专业。黄渤早年曾有过驻唱歌手、舞蹈教练、影视配音等多种工作经历。2000年，黄渤出演管虎执导的电视电影《上车，走吧》，这是他的第一部影视作品。2006年凭借宁浩执导的电影《疯狂的石头》而成名[3]2015年6月，加盟东方卫视励志综艺真人秀《极限挑战》节目,https://baike.baidu.com/item/%E9%BB%84%E6%B8%A4
53,张国立,男,1955年1月17日,演员、导演、制片人、主持人,中国,天津,张国立，1955年1月17日生于天津，全国政协委员，国家一级演员、导演、制片人、主持人。中国铁路文工团演员、重庆大学美视电影学院院长、硕士生导师，北京国立常升影视文化传播有限公司董事长、上影寰亚文化发展（上海）有限公司总经理。,https://baike.baidu.com/item/%E5%BC%A0%E5%9B%BD%E7%AB%8B/10549
54,张译,男,1978年2月17日,演员,中国,黑龙江省哈尔滨市,张译，1978年2月17日出生于黑龙江省哈尔滨市，中国内地男演员。1997年至2006年服役于北京军区政治部战友话剧团。2006年，主演军事励志题材电视剧《士兵突击》。2009年，主演抗战剧《我的团长我的团》，张译凭借该角色获得2009中国电视榜“最深入人心电视形象”的荣誉。2017年4月，张译凭借《追凶者也》获得第八届中国电影导演协会年度男演员表彰。2017年6月16日，张译凭借《鸡毛飞上天》获第23届上海电视节白玉兰奖最佳男主角奖。,https://baike.baidu.com/item/%E5%BC%A0%E8%AF%91/4637596
55,韩庚,男,1984年2月9日,演员、流行乐歌手、舞者、商人、赛车手,中国,黑龙江省牡丹江市,韩庚（HanGeng），1984年2月9日生于黑龙江省牡丹江市，中国内地影视男演员、流行乐歌手、舞者、商人、赛车手，毕业于中央民族大学舞蹈系。2005年，作为SuperJunior唯一的中国籍成员正式出道，并成为第一位正式在韩国出道的中国人。2008年，担任SuperJuniorM的队长。2009年，与SM公司解约并回国发展。2010年，推出首张个人音乐专辑《庚心》。2011年，凭借电影《大武生》获得第二届纽约中国电影节亚洲最受欢迎艺人奖,https://baike.baidu.com/item/%E9%9F%A9%E5%BA%9A/5909
56,周润发,男,1955年5月18日,演员、摄影家,中国,香港南丫岛,周润发（ChowYunFat），1955年5月18日出生在香港南丫岛，籍贯广东开平，中国影视演员、摄影家，国家一级演员。1974年毕业于TVB艺员训练班，主演了《网中人》、《亲情》、《上海滩》等20余部剧集。1976年初涉影坛，在80年代凭《英雄本色》、《监狱风云》、《赌神》等电影成为香港“暴力美学”风格电影的代表人物之一。90年代与成龙、周星驰并称为“双周一成”。1995年远赴好莱坞发展。主演了《安娜与国王》、《卧虎藏龙》等多部不同风格的电影，曾两次担任奥斯卡颁奖嘉宾。,https://baike.baidu.com/item/%E5%91%A8%E6%B6%A6%E5%8F%91
57,陈晓,男,1987年7月5日,演员,中国,安徽合肥,陈晓，1987年7月5日出生于安徽合肥，中国内地男演员，毕业于中央戏剧学院表演系本科班。1997年出演电视《我们班的歌》，饰演男一号孙东。2010年参演徐克执导的电影《狄仁杰之通天帝国》。2011年签约于正工作室。2013年凭借新版《笑傲江湖》林平之、《陆贞传奇》男一号高湛人气大增，荣获2013年度国剧盛典“极具青春号召力演员”奖，以及亚洲偶像盛典“最具潜力男演员奖”。2016年，与孙俪合作主演电视剧《那年花开月正圆》，同年凭借在影片《智取威虎山》中饰演的高波一角获得第33届大众电影百花奖最佳男配角提名[11]  。,https://baike.baidu.com/item/%E9%99%88%E6%99%93/1178647
58,张学友,男,1961年7月10日,歌手、演员,中国,香港,张学友（JackyCheung），1961年7月10日出生于香港，中国香港男歌手、演员，毕业于香港崇文英文书院。1984年因获得首届香港十八区业余歌唱大赛冠军而出道。1985年发行个人首张专辑《Smile》。1993年发行的专辑《吻别》打破华语唱片在台湾的销量纪录。张学友热心公益慈善。1998年当选香港十大杰出青年。 1999年当选世界十大杰出青年。2003年至2009年担任香港演艺人协会副会长 。,https://baike.baidu.com/item/%E5%BC%A0%E5%AD%A6%E5%8F%8B
59,郑恺,男,1986年4月17日,演员,中国,上海市,郑恺（Ryan），1986年4月17日出生于上海市，华语影视男演员，毕业于上海戏剧学院表演系。2007年，出演个人首部电影《奔跑吧有情人》，从而正式进入演艺圈。2014年，参加浙江卫视户外竞技真人秀节目《奔跑吧兄弟》；同年，凭借电影《前任攻略》获得“第2届伦敦国际华语电影节”最佳男配角奖。2015年，获得“第15届华语电影传媒大奖”最受瞩目男演员奖。2017年，获得“时尚先生年度盛典”年度实力偶像奖,https://baike.baidu.com/item/%E9%83%91%E6%81%BA/73530
60,古天乐,男,1970年10月21日,演员、歌手,中国,香港,古天乐，1970年10月21日出生于中国香港，中国香港男演员、歌手。1993年，古天乐签约TVB进入娱乐圈。1995年，在武侠剧《神雕侠侣》中首次担任男主角，饰演亦正亦邪的杨过而成名。古天乐于2009年成立“古天乐慈善基金会”，截至2015年底，古天乐以“古天乐慈善基金”的名义先后在贵州等地捐赠80多所学校。2018年1月19日，担任香港演艺人协会会长。2018年1月31日，上榜“2017中国慈善名人榜TOP30”  。第12届亚洲电影大奖最佳男主角。,https://baike.baidu.com/item/%E5%8F%A4%E5%A4%A9%E4%B9%90
61,宋威龙,男,1999年3月25日,演员、模特,中国,辽宁省大连市,"宋威龙，1999年3月25日出生于辽宁省大连市，中国内地影视男演员、模特。
2015年因在创意实境游戏秀《全员加速中》第六期“触不到的恋人”中饰演彩虹谷少爷王晓被观众熟知；2016年1月，加入湖南卫视脱口秀节目《天天向上》，担任天天小兄弟成员，2017年，主演古装电视剧《凤囚凰》",https://baike.baidu.com/item/%E5%AE%8B%E5%A8%81%E9%BE%99
62,易烊千玺,男,2000年11月28日,歌手、舞者、演员,中国,湖南怀化,易烊千玺，2000年11月28日生于湖南怀化，中国内地男歌手、舞者、演员，TFBOYS成员。2005年，首登电视荧屏，开始参演各类综艺节目。2009年，加入“飞炫少年”组合，两年后退出，期间先后亮相CCTV和全国各大卫视。2013年6月，因舞蹈出众、多才多艺获邀加入TF家族；同年8月，以TFBOYS形式出道，是组合中年龄最小的成员 。,https://baike.baidu.com/item/%E6%98%93%E7%83%8A%E5%8D%83%E7%8E%BA
63,王俊凯,男,1999年9月21日,歌手、演员,中国,重庆,王俊凯，1999年9月21日生于中国重庆，中国内地流行乐男歌手、影视演员、TFBOYS队长。2010年底成为TF家族练习生，一年后其他学员陆续退出，只有王俊凯坚持下来，TF家族因此得以存续。2012年2月，翻唱《囚鸟》被优酷等网站推荐而走进大众视野。2013年8月6日，与王源、易烊千玺组成中国内地组合TFBOYS正式出道，王俊凯担任组合队长。2015年5月，王俊凯参加在人民大会堂举办的共青团中央优秀青年座谈会；7月参加“中华全国学生联合会第26次代表大会”，同时兼任学生会副会长和五四优秀青年并登上当日新闻联播报道  。,https://baike.baidu.com/item/%E7%8E%8B%E4%BF%8A%E5%87%AF/75850
64,华晨宇,男,1990年2月7日,歌手,中国,湖北十堰 ,华晨宇，1990年2月7日生于湖北十堰，中国男歌手，毕业于武汉音乐学院。2013年，参加湖南卫视《快乐男声》获年度总冠军出道。2014年1月，首登央视春晚舞台。同年4月，参加户外真人秀节目《花儿与少年》。9月6日7日，在北京万事达中心连开两场“火星”演唱会，随后首张个人专辑《卡西莫多的礼物》发行，并凭此专辑获2015QQ音乐年度最佳内地男歌手及第十五届音乐风云榜年度最受欢迎男歌手等奖项。2015年7月31日—8月2日，在上海大舞台连开三场个人演唱。,https://baike.baidu.com/item/%E5%8D%8E%E6%99%A8%E5%AE%87/6064097?fr=aladdin
65,迪丽热巴,女,1992年6月3日,演员,中国,新疆乌鲁木齐市,迪丽热巴（Dilraba），1992年6月3日出生于新疆乌鲁木齐市，中国内地影视女演员。2013年，迪丽热巴因主演个人首部电视剧《阿娜尔罕》而出道。2014年，她主演了奇幻剧《逆光之恋》。2015年，迪丽热巴凭借爱情剧《克拉恋人》赢得高人气，并获得国剧盛典最受欢迎新人女演员奖。,https://baike.baidu.com/item/%E8%BF%AA%E4%B8%BD%E7%83%AD%E5%B7%B4/1180418?fr=aladdin
66,姚笛,女,1982年3月17日,演员,中国,浙江省桐乡市,姚笛，1982年3月17日出生于浙江省桐乡市、中国内地女演员。2007年，姚笛因参加“红楼梦中人”的选秀而进入演艺圈；随后，在李少红版《红楼梦》中饰演了王熙凤。2010年，主演的恐怖片《午夜心跳》总票房累计2800万，在贺岁档的惊悚片中排名第三。2011年，凭借情感剧《裸婚时代》获得优酷影视盛典年度最具人气女演员及最受欢迎女演员等奖项。,https://baike.baidu.com/item/%E5%A7%9A%E7%AC%9B
67,赵丽颖,女,1987年10月16日,演员,中国,北省廊坊市,赵丽颖，1987年10月16日出生于河北省廊坊市，中国内地影视女演员。2006年，因获得雅虎搜星比赛冯小刚组冠军而进入演艺圈；同年，在冯小刚执导的广告片《跪族篇》中担任女主角。2011年，因在古装剧《新还珠格格》中饰演晴儿一角而被观众认识。2015年，主演的仙侠剧《花千骨》打破中国内地周播剧收视纪录，而其个人则凭借该剧先后获得第6届澳门国际电视节金莲花最佳女主角奖。2017年，其主演的古装剧《楚乔传》成为中国内地首部在播期间网络播放量突破400亿次的电视剧  。,https://baike.baidu.com/item/%E8%B5%B5%E4%B8%BD%E9%A2%96/10075976?fr=aladdin
68,杨幂,女,1986年9月12日,演员,中国,北京市,杨幂，1986年9月12日出生于北京市，中国内地影视女演员、流行乐歌手、影视制片人。2005年，杨幂进入北京电影学院表演系本科班就读。2006年，杨幂因出演金庸武侠剧《神雕侠侣》而崭露头角。2008年，杨幂凭借古装剧《王昭君》获得了第24届中国电视金鹰奖观众喜爱的电视剧女演员奖提名。2009年，杨幂在“80后新生代娱乐大明星”评选活动中与其她三位女演员共同被评为“四小花旦”。2011年，杨幂凭借穿越剧《宫锁心玉》赢得广泛关注，并获得了第17届上海电视节白玉兰奖观众票选最具人气女演员奖。,https://baike.baidu.com/item/%E6%9D%A8%E5%B9%82
69,关晓彤,女,1997年9月17日,演员,中国,北京市,关晓彤，1997年9月17日出生于北京市，就读于北京电影学院，中国内地女演员。2001年，出演个人首部电视剧《烟海沉浮》，从而开启了她的演艺生涯。2005年，凭借奇幻动作片《无极》被观众认识。2014年，凭借时尚情感剧《一仆二主 》荣获国剧盛典观众喜爱的新人女演员奖；2016年，凭借主演都市爱情剧《好先生》而获得广泛关注；与此同时，关晓彤还与郑爽、周冬雨、杨紫共同被评为“90后四小花旦。,https://baike.baidu.com/item/%E5%85%B3%E6%99%93%E5%BD%A4/40229
70,杨颖,女,1989年2月28日,演员、时尚模特,中国,上海市,Angelababy（杨颖），1989年2月28日出生于上海市，华语影视女演员、时尚模特。2003年，Angelababy以模特身份出道，此后，她因担任时尚模特而在香港崭露头角。2007年，她开始将工作重心转向大银幕。2011年，她在爱情片《夏日乐悠悠》中首次担任女主角。2012年，凭借言情片《第一次》获得第13届华语电影传媒大奖最受瞩目女演员奖。2013年，Angelababy与其她三位女艺人被《南都娱乐周刊》选为新“四小花旦”；同年，她还完成了个人的荧屏处女作《大汉情缘之云中歌》,https://baike.baidu.com/item/Angelababy
71,张韶涵,女,1982年1月19日,歌手、影视演员,中国,台湾省桃园县,张韶涵（AngelaZhang），1982年1月19日出生于台湾省桃园县中坜市，拥有四分之一维吾尔族血统，华语流行乐女歌手、影视演员，毕业于加拿大温斯顿爵士邱吉尔中等学校。2001年，与福茂唱片签约，出演了个人首部电视剧《永不言弃》，从而正式进入演艺圈。2003年，在爱情励志偶像剧《海豚湾恋人》中饰演女主角易天边。2004年，推出首张个人音乐专辑《OverTheRainbow》。2005年，凭借专辑《欧若拉》入围了第16届台湾金曲奖最佳国语女演唱人奖；,https://baike.baidu.com/item/%E5%BC%A0%E9%9F%B6%E6%B6%B5/148008
72,欧阳娜娜,女,2000年6月15日,演员、大提琴演奏者,中国,台湾省台北市,欧阳娜娜，2000年6月15日出生于台湾省台北市，华语影视女演员、大提琴演奏者。2011年，欧阳娜娜赢得台湾大提琴比赛冠军并以特优第一名保送台湾师大附中音乐班。2012年，她在台湾成功举办四场“Only&Nana－2012欧阳娜娜大提琴独奏会”巡回音乐会，成为台湾“国家演奏厅”有史以来年纪最小的演奏家。2013年，考取美国柯蒂斯音乐学院并获得全额奖学金。2014年，凭借爱情电影《北京爱情故事》开始在影视圈崭露头角。2015年，她首次登上北京国家大剧院的舞台，举行个人大提琴独奏会。,https://baike.baidu.com/item/%E6%AC%A7%E9%98%B3%E5%A8%9C%E5%A8%9C
73,石原里美,女,1986年12月24日,演员、主持人,日本,日本东京,石原里美，1986年12月24日出生于日本东京，日本女演员、主持人。2002年，参加HORIPRO公司第27回艺人新人选拔，获得最佳新人“完美少女”奖，从而正式以女演员的身份进入演艺圈。2003年，参演喜剧电影《我的爷爷》，她则凭借该片获得了第28届报知映画赏新人赏、第27届日本电影学院赏新人赏等7个电影奖项的新人赏,https://baike.baidu.com/item/%E7%9F%B3%E5%8E%9F%E9%87%8C%E7%BE%8E
74,酒井法子,女,1971年2月14日,歌手、演员、词作者,日本,日本福冈,酒井法子，1971年2月14日出生在日本福冈。日本歌手、演员、词作者。1986年，参演了首部电视剧《春风一番!》；1987年，以单曲《宁为男孩》歌手出道，并获得了“日本歌谣大赏最优秀放送音乐新人赏”；1988年，主演了电视剧《京都花见小路杀人事件ー舞妓名侦探》，这是其首次主演电视剧；1989年，举行第一次全国巡回演唱会“ShuffleHeart”；1992年，在台北举行了首场海外个人演唱会；1993年，主演了浪漫奇幻电视剧《我爱美人鱼》；1995年，主演了爱情电视剧《星之金币》，由此获得了第5回日剧学院赏最佳女主角奖；,https://baike.baidu.com/item/%E9%85%92%E4%BA%95%E6%B3%95%E5%AD%90
75,甘婷婷,女,1986年2月5日,演员,中国,安徽省芜湖市,甘婷婷，1986年2月5日出生于安徽省芜湖市，中国内地女演员，毕业于中央戏剧学院。2005年，出演个人首部影视剧《朱元璋》，饰演玉儿正式出道。2006年，主演中越合拍片《河内，河内》，并凭借该片荣获2007年度越南金风筝国际电影节“最佳女演员奖”。2010年，参演《水浒传》中潘金莲一角，并凭借该剧荣获2011搜狐秋季电视剧盛典最佳女新人奖、2011国剧盛典年度最佳新人女演员 。,https://baike.baidu.com/item/%E7%94%98%E5%A9%B7%E5%A9%B7
76,李小冉,女,1976年5月8日,演员,中国,北京,"李小冉，1976年5月8日出生于北京，中国内地女演员，毕业于北京舞蹈学院。
1996年参演个人首部电视剧《保镖之翡翠娃娃》，从而进入演艺圈。2000年因在年代剧《像雾像雨又像风》中饰演安琪一角获得关注。2003年参演情感剧《别了，温哥华》。2008年主演年代剧《凤穿牡丹》。2010年主演民国剧《来不及说我爱你》。2014年凭家庭剧《大丈夫》获得第20届上海电视节白玉兰奖最佳女演员提名 ",https://baike.baidu.com/item/%E6%9D%8E%E5%B0%8F%E5%86%89
77,郑爽,女,1991年8月22日,演员,中国,辽宁省沈阳市,郑爽，1991年8月22日出生于辽宁省沈阳市，毕业于北京电影学院，中国内地影视女演员。2009年，郑爽因主演现代剧《一起来看流星雨》进入演艺圈，而她也凭借该系列剧获得第25届中国电视金鹰节电视剧最佳女演员提名。2012年，郑爽凭借个人首部电影《画壁》获得香港电影导演协会年度新演员金奖和第31届香港电影金像奖最佳新人提名。2014年，她因主演仙侠剧《古剑奇谭》而获得第13届电视华鼎奖全国观众最喜欢的影视演员。,https://baike.baidu.com/item/%E9%83%91%E7%88%BD/1966
78,范冰冰,女,1981年9月16日,演员,中国,山东青岛,范冰冰，1981年9月16日出生于山东青岛，华语影视女演员、制片人、流行歌手，毕业于上海师范大学谢晋影视艺术学院。1996年参演首部电视剧《女强人》踏入演艺圈，1998年主演电视剧《还珠格格》获得广泛关注，2002年主演电影《一见钟情》进入影坛。2004年凭借冯小刚执导的电影《手机》获得第27届大众电影百花奖最佳女主角。2013年获好莱坞报道年度最佳国际艺人奖， 2013-2017年连续五年蝉联福布斯中国名人榜榜首。2015年上榜《福布斯》全球十大最高收入女星第4名,https://baike.baidu.com/item/%E8%8C%83%E5%86%B0%E5%86%B0
79,李小璐,女,1981年9月30日,演员,中国,安徽安庆,李小璐，1981年9月30日出生于安徽安庆，毕业于北京美国英语语言学院，中国影视演员。1998年，17岁的李小璐凭借和陈冲合作的《天浴》一片获得台湾电影金马奖最佳女主角奖以及法国水城首届亚洲电影节最佳女演员奖。2000年因主演《都是天使惹得祸》而成名。2007年，凭借《奋斗》中杨晓芸一角再度走红。2008年，发行首张EP《东方美》2012年7月6日，李小璐与贾乃亮举行婚礼；10月23日，李小璐在北京诞下女儿。,https://baike.baidu.com/item/%E6%9D%8E%E5%B0%8F%E7%92%90
80,江疏影,女,1986年9月1日,演员,中国,上海,江疏影，1986年9月1日出生于上海，中国内地女演员，毕业于上海戏剧学院，并取得英国东英格利亚大学传媒经济学硕士学位。2005年，出演情感剧《飞花如蝶》，由此进入演艺圈。2007年，凭借短片《爱·减肥》获得第1届全球华人网络非常短片创意大赛最佳女主角奖。2009年，主演喜剧电影《美女“如云”》。2013年，因在电影《致我们终将逝去的青春》中饰演校花阮莞而为观众熟知，凭借该片获得第8届亚洲电影大奖最佳新演员奖、第5届英国万像国际华语电影节最佳女配角奖等多个奖项。,https://baike.baidu.com/item/%E6%B1%9F%E7%96%8F%E5%BD%B1
